0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,label
0.16090032,0.28760898,0.13385247,0.3157966,0.13188082,0.30827773,0.17118186,0.3953423,0.16542235,0.3874572,0.3354148,0.5190251,0.34914073,0.25238279,0.5639377,0.6405077,0.6245322,0.23503421,0.77764726,0.7811208,0.8803172,0.19085795,0.8092399,0.4602975,0.8141753,0.32047498,0.811063,0.76095456,0.53381526,0.6128962,0.9140177,0.41937345,0.879179,0.8068653,baddha konasana
0.2775186,0.67301345,0.24705979,0.6998551,0.24508165,0.6519187,0.26457405,0.72789747,0.25491035,0.6297387,0.43229884,0.7790979,0.43258372,0.57232076,0.6775836,0.7588323,0.6682281,0.58221,0.8699643,0.7139204,0.86964446,0.6008678,0.81940305,0.7310252,0.8162697,0.604359,0.7193962,0.95333934,0.7480426,0.37356508,0.9390932,0.7037949,0.9420375,0.63341546,baddha konasana
0.34416768,0.5040974,0.3107946,0.5264727,0.31376955,0.47527698,0.27971843,0.55983526,0.28174162,0.4512823,0.40468767,0.622233,0.41786474,0.40143973,0.643053,0.61140466,0.6583766,0.41960377,0.8280232,0.5720373,0.83996475,0.46056274,0.79468393,0.578817,0.8007939,0.44444215,0.77841103,0.80349535,0.76072645,0.2254898,0.90739757,0.4882126,0.9129497,0.480554,baddha konasana
0.24271545,0.6014075,0.22246756,0.6231473,0.22212131,0.5988431,0.23015678,0.6763246,0.22629224,0.6256432,0.3504822,0.7002642,0.36093444,0.57986605,0.5047632,0.78679836,0.52259004,0.53112656,0.72633797,0.77505094,0.66187745,0.50400156,0.69288737,0.70090806,0.69512904,0.6042161,0.8833328,0.7425418,0.720127,0.47811738,0.7992408,0.56148964,0.79027075,0.5603244,baddha konasana
0.26899025,0.49588805,0.23958431,0.51601493,0.23984003,0.47599,0.225767,0.53845763,0.22392543,0.45248,0.38564166,0.5862888,0.38739255,0.40510094,0.6183821,0.5760478,0.6207258,0.4113639,0.82131,0.54766536,0.8174323,0.4371741,0.77847254,0.54427284,0.7772096,0.43241033,0.8295321,0.73465556,0.8250797,0.25338152,0.88001746,0.49778807,0.8955169,0.487429,baddha konasana
0.19105294,0.5307644,0.16624871,0.55392694,0.16997181,0.5094145,0.19077982,0.5836085,0.19346058,0.49178773,0.34003726,0.6348801,0.34337094,0.44150352,0.5405496,0.65796554,0.53865886,0.42905352,0.6588328,0.6248784,0.67485523,0.4373742,0.69478893,0.5985011,0.694172,0.48328415,0.70208615,0.8057184,0.691704,0.26835838,0.8332774,0.59727407,0.8476474,0.4921144,baddha konasana
0.18753642,0.5427492,0.15303627,0.554706,0.15741234,0.5053056,0.16592288,0.54340565,0.18335304,0.44929355,0.39888963,0.59425193,0.3856747,0.41742858,0.6591612,0.61837745,0.6852414,0.4139867,0.85795975,0.65493524,0.89059204,0.51865345,0.8101422,0.5751543,0.8049331,0.4366692,0.8780645,0.6413155,0.8484516,0.2993608,0.9069854,0.61307216,0.92984694,0.54388946,baddha konasana
0.3004179,0.358387,0.2647343,0.36642957,0.26852167,0.35797936,0.229553,0.43519443,0.23553589,0.4185717,0.35839877,0.54849195,0.34711975,0.4752185,0.5727829,0.70053226,0.5185523,0.53119004,0.7249214,0.57614183,0.6391903,0.5001739,0.6414183,0.71748865,0.6426236,0.6084441,0.74697614,0.7001618,0.57060856,0.54857296,0.7333834,0.72578734,0.70863855,0.61141306,baddha konasana
0.2349261,0.47587317,0.2085885,0.49739045,0.20831679,0.45461863,0.22218455,0.5220274,0.22671835,0.42964864,0.38578114,0.56375015,0.39150962,0.38265073,0.60922545,0.5577761,0.61293817,0.37935686,0.8058684,0.52654207,0.81001276,0.4120313,0.7392755,0.522758,0.73991644,0.41639104,0.796834,0.73146623,0.8240251,0.2057094,0.8407314,0.5125548,0.83928204,0.43306857,baddha konasana
0.16385402,0.41596636,0.14137587,0.4368937,0.13899338,0.39384687,0.16255037,0.4586761,0.16068225,0.36798427,0.29283798,0.4995257,0.3274984,0.3125127,0.5285288,0.5073003,0.54335886,0.3150682,0.70942134,0.4818401,0.7341399,0.34310782,0.6910765,0.47510847,0.68698925,0.3554512,0.68342406,0.6816218,0.6632114,0.15859713,0.8400664,0.49333,0.8376372,0.31465173,baddha konasana
